"","Sourced","Placed","References","Value","Footprint"
1,"","","D1","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal"
2,"","","D2","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal"
3,"","","D3","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal"
4,"","","D4","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal"
5,"","","D5","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal"
6,"","","D6","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal"
7,"","","U1","MOUDLE-SEEEDUINO-XIAO","XIAO-Generic-Hybrid-14P-2.54-21X17.8MM"
8,"","","U2","ER_OLEDM0.91_1x-I2C","ER_OLEDM0.91_1x-I2C"
9,"","","SW1","SW_Push","MX-Solderable-1U"
10,"","","SW2","SW_Push","MX-Solderable-1U"
11,"","","SW3","SW_Push","MX-Solderable-1U"
12,"","","SW4","SW_Push","MX-Solderable-1U"
13,"","","SW5","SW_Push","MX-Solderable-1U"
14,"","","SW6","SW_Push","MX-Solderable-1U"
15,"","","SW7","RotaryEncoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm"
